epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.358,1.1433,1.36273,1.39385,0.6578,0.70298,0.69163,0.47175,1.28608,1.38061,1.52071,0.000415419,0.000415419,0.000415419
2,309.749,1.21508,1.17073,1.43427,0.81108,0.76817,0.79796,0.53401,1.12217,0.95112,1.40152,0.000815611,0.000815611,0.000815611
3,432.969,1.22759,1.14371,1.43627,0.85928,0.8085,0.8731,0.57262,1.10567,1.1611,1.38078,0.0011993,0.0011993,0.0011993
4,556.363,1.18762,1.09803,1.41201,0.78447,0.74904,0.82399,0.54226,1.11067,0.99172,1.41327,0.00117575,0.00117575,0.00117575
5,680.329,1.13407,1.00783,1.37637,0.85579,0.79312,0.87299,0.59412,1.06287,0.88115,1.34037,0.001151,0.001151,0.001151
6,803.139,1.08908,0.95691,1.35229,0.82347,0.80229,0.86179,0.61363,0.99473,0.81937,1.29109,0.00112625,0.00112625,0.00112625
7,926.562,1.05901,0.9119,1.32379,0.89669,0.85624,0.92095,0.67359,0.94795,0.76714,1.24354,0.0011015,0.0011015,0.0011015
8,1050.1,1.03842,0.87326,1.30676,0.84885,0.83098,0.91585,0.6701,0.98724,0.74227,1.2758,0.00107675,0.00107675,0.00107675
9,1173.09,1.01362,0.8516,1.29719,0.88754,0.89668,0.9281,0.68016,0.90887,0.67579,1.22071,0.001052,0.001052,0.001052
10,1295.86,0.98434,0.8121,1.27652,0.92626,0.8727,0.9377,0.70663,0.89327,0.66888,1.20354,0.00102725,0.00102725,0.00102725
11,1419.88,0.95842,0.78668,1.2579,0.88929,0.88152,0.93167,0.71426,0.89266,0.66299,1.21111,0.0010025,0.0010025,0.0010025
12,1543.35,0.95149,0.77497,1.25556,0.92364,0.88058,0.93822,0.69617,0.85327,0.66441,1.18845,0.00097775,0.00097775,0.00097775
13,1666.04,0.93234,0.74856,1.246,0.95318,0.85448,0.93114,0.7042,0.85224,0.67055,1.18383,0.000953,0.000953,0.000953
