epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,316.606,1.48677,1.17005,1.4207,0.73358,0.62924,0.7076,0.33218,1.4483,1.2249,1.42862,0.000199606,0.000199606,0.080239
2,636.642,1.45332,1.04529,1.43983,0.72802,0.68424,0.75385,0.37515,1.51644,0.92179,1.51648,0.000399508,0.000399508,0.0604389
3,954.289,1.42615,1.01741,1.42873,0.82725,0.7866,0.84081,0.4424,1.35132,0.70831,1.35744,0.000599015,0.000599015,0.0406384
4,1267.93,1.39878,0.95464,1.41284,0.7881,0.78235,0.81875,0.47671,1.31616,0.76112,1.37441,0.000797832,0.000797832,0.0208372
5,1581.93,1.38797,0.94669,1.40912,0.82477,0.77032,0.83082,0.48465,1.35035,0.74222,1.37481,0.000995666,0.000995666,0.00103504
6,1896.22,1.36255,0.91697,1.39434,0.8679,0.84189,0.87714,0.5248,1.26016,0.64549,1.31955,0.000993845,0.000993845,0.000993845
7,2210.52,1.34314,0.86415,1.37626,0.8588,0.83622,0.8854,0.51512,1.25719,0.62051,1.32307,0.000991145,0.000991145,0.000991145
8,2524.29,1.3202,0.83818,1.35614,0.89093,0.85029,0.89172,0.54007,1.26975,0.59724,1.31797,0.00098796,0.00098796,0.00098796
9,2837.52,1.31366,0.82673,1.36025,0.88558,0.8841,0.91024,0.57849,1.21332,0.5784,1.28685,0.000984293,0.000984293,0.000984293
10,3151.27,1.29589,0.8054,1.34309,0.90047,0.89122,0.91419,0.58694,1.22925,0.56344,1.28884,0.000980149,0.000980149,0.000980149
11,3464.86,1.2901,0.79936,1.34014,0.88651,0.89762,0.92762,0.59562,1.20009,0.54328,1.28474,0.000975531,0.000975531,0.000975531
12,3778.33,1.27402,0.77958,1.33087,0.89664,0.89518,0.93047,0.61483,1.17297,0.5247,1.25626,0.000970443,0.000970443,0.000970443
13,4091.24,1.26379,0.75978,1.32101,0.8846,0.90324,0.92718,0.6135,1.1702,0.52937,1.25301,0.000964892,0.000964892,0.000964892
14,4404.38,1.25577,0.74501,1.31889,0.91036,0.90689,0.93382,0.62008,1.17419,0.51742,1.26015,0.000958881,0.000958881,0.000958881
15,4717.4,1.2434,0.7423,1.31084,0.91715,0.89802,0.94576,0.63244,1.14675,0.49557,1.25266,0.000952418,0.000952418,0.000952418
16,5030.52,1.22683,0.72371,1.30426,0.91308,0.90368,0.94039,0.6243,1.13301,0.49425,1.24673,0.000945509,0.000945509,0.000945509
17,5343.75,1.22749,0.71674,1.30574,0.94932,0.91186,0.95152,0.65799,1.12596,0.48418,1.2452,0.00093816,0.00093816,0.00093816
18,5656.78,1.21856,0.70182,1.29733,0.90998,0.8901,0.94184,0.62828,1.14213,0.49093,1.2386,0.000930378,0.000930378,0.000930378
19,5970.19,1.20569,0.69874,1.29391,0.9311,0.91288,0.95744,0.65573,1.11552,0.47585,1.23368,0.000922172,0.000922172,0.000922172
20,6283.71,1.2009,0.68987,1.28897,0.92256,0.92859,0.96253,0.67058,1.10841,0.45569,1.22952,0.000913549,0.000913549,0.000913549
21,6598.76,1.19342,0.6861,1.28771,0.93223,0.922,0.9577,0.6681,1.12417,0.461,1.22034,0.000904518,0.000904518,0.000904518
22,6914.71,1.18615,0.67762,1.27496,0.94298,0.92185,0.96501,0.67553,1.09103,0.4422,1.2095,0.000895088,0.000895088,0.000895088
23,7229.17,1.17794,0.67012,1.26907,0.93181,0.92784,0.95792,0.67464,1.0934,0.44168,1.20873,0.000885268,0.000885268,0.000885268
24,7542.83,1.17519,0.67375,1.27052,0.93672,0.93945,0.96334,0.67198,1.08576,0.4362,1.20478,0.000875068,0.000875068,0.000875068
25,7856.83,1.17023,0.65594,1.25271,0.94795,0.92515,0.96319,0.68251,1.08106,0.42958,1.20028,0.000864498,0.000864498,0.000864498
26,8173.6,1.16254,0.65063,1.2532,0.94126,0.93551,0.96283,0.68621,1.06836,0.42415,1.19643,0.000853568,0.000853568,0.000853568
27,8488.87,1.15385,0.65,1.25395,0.95817,0.92207,0.96645,0.69415,1.06699,0.41821,1.19524,0.000842289,0.000842289,0.000842289
28,8803.08,1.14752,0.63994,1.24684,0.95077,0.93958,0.96754,0.70316,1.04904,0.4138,1.18909,0.000830673,0.000830673,0.000830673
29,9116.59,1.13744,0.63346,1.24744,0.9487,0.93705,0.96723,0.70216,1.05564,0.41049,1.19327,0.00081873,0.00081873,0.00081873
30,9429.41,1.13173,0.62416,1.24417,0.93781,0.94345,0.96351,0.70811,1.03789,0.40538,1.17061,0.000806473,0.000806473,0.000806473
